,BANANA,POBLANO,JALAPENO,GUAJILLO,CAYENNE,HABANERO,NAGA_VIPER,COLOR,AGE,SPICYNESS
0,False,True,True,False,False,False,False,0.8902244235929766,3.412937566180425,36.107786727192256
1,False,False,True,False,True,True,False,0.46784690569422066,2.11299462850481,98.53588896739461
2,False,True,False,False,False,False,False,0.746843414774449,7.866019892540366,39.94994684368381
3,False,True,False,False,False,True,True,0.39240795725167227,4.20924561882413,98.90594777105488
4,False,False,True,False,False,False,False,0.8160032442557121,3.229873061866317,40.13867927127916
5,True,False,True,False,True,True,False,0.4037357538224871,9.544190549017916,97.2751942895882
6,True,False,False,True,True,False,True,0.3083599042103594,7.469849452179732,110.60210622311405
7,False,False,True,False,False,False,False,0.5785693672882604,8.771073330577071,53.25055446239987
8,True,False,False,False,False,True,False,0.48387943908908815,6.338434533722781,73.29465175192718
9,False,False,False,False,True,False,False,0.11789724823571919,5.22367484172245,64.01266613521534
10,False,False,True,False,True,True,False,0.2744562975137675,4.07006631970289,82.32062606154156
11,True,False,True,False,False,True,False,0.730800347388232,2.0586687060957924,54.53160795796331
12,False,False,False,False,False,True,False,0.20621632095692088,4.280551122811219,79.40733257320176
13,False,False,False,False,True,False,False,0.3970882795900201,4.8680418221022945,54.654096417831774
14,True,False,False,False,False,False,False,0.9296693985737549,9.24812614213803,55.974760947628816
15,False,False,False,False,True,False,False,0.2839910530430416,6.170399811657847,77.33869193081085
16,True,True,True,False,False,False,False,0.8581007343287551,7.938368724005961,54.24201958844604
17,False,False,True,False,False,False,False,0.7044548238953378,11.94892134960587,54.454195087595814
18,False,False,False,False,True,False,False,0.1513256173925136,10.349462054844691,64.6910031782147
19,False,False,False,True,True,False,False,0.16628931084353177,3.211140247887658,64.10013129293736
20,False,False,False,False,False,False,True,0.196372617168241,8.772849239868542,79.73279997280522
21,False,False,True,False,False,True,False,0.45194134235235706,5.301045568427366,70.41788885899115
22,False,False,True,False,False,False,False,0.9578564083514935,2.2897460319308487,30.047555376431216
23,False,True,True,True,False,True,False,0.5155684042782103,11.968959870671782,106.86208026529319
24,True,False,False,False,False,True,False,0.5924868199721733,6.463771074549674,73.5297456192327
25,False,False,False,False,True,False,False,0.11686061109869458,6.878216994957844,51.82946999158856
26,False,False,True,False,True,True,False,0.40615542632517476,10.955781256136174,97.37228089468547
27,True,True,False,False,True,True,False,0.5085929794124456,6.847104210624385,86.14093833461156
28,False,False,True,False,False,False,False,0.969438182026251,10.120287391352793,49.33291069630411
29,False,True,True,True,True,False,False,0.44876591142190886,8.79815729819856,90.11445423032833
30,False,False,False,False,False,True,True,0.2701023027569589,4.878489492390641,95.54903056193538
31,False,False,True,False,False,True,False,0.5403289256052941,6.93756144003297,73.9551397358002
32,False,False,True,False,False,True,False,0.5683303050640021,7.6445810853292775,79.74266929941386
33,False,False,True,False,True,False,False,0.5437979120443355,7.555872159756657,79.28633799198178
34,False,False,False,False,False,False,True,0.13522979937869464,11.849499919340632,94.50493128946572
35,False,False,False,True,True,False,True,0.1600189451369816,3.139671300271622,105.53990301201544
36,False,False,True,True,True,True,False,0.3019182595012705,5.549385266601648,94.32701832590965
37,False,False,True,False,True,False,False,0.5541989523515825,4.964245165671794,64.89404738904035
38,False,False,False,True,True,True,False,0.09360617305468161,8.003841120503697,100.00357585498305
39,False,False,True,False,True,False,False,0.5362072477375286,5.143498868613866,60.46512888807854
40,False,True,True,False,False,False,False,0.7126053460380735,10.18107715585426,93.81272534933849
41,True,True,True,False,False,True,False,0.6153137608180446,4.836229733685463,75.41409722453942
42,False,True,True,False,True,True,False,0.43927559892835016,12.996452582046725,112.96101538683632
43,False,True,False,False,True,False,False,0.48911788687919977,2.7137915824040304,40.89619233286509
44,False,True,True,False,False,True,False,0.7316412236107345,3.6417251548334093,70.30111938837473
45,True,True,False,True,True,True,False,0.4227667449356559,3.534177908137254,87.96629150387712
46,False,False,True,False,True,False,False,0.5088245533724626,6.117863166614823,66.95571126624885
47,True,True,True,False,True,True,False,0.6153095825061821,5.589351790630902,89.42541165494261
48,False,False,True,False,False,True,False,0.5093699712278836,5.324716608791232,69.54221408423054
49,False,False,False,True,False,False,False,0.19425076243167003,2.7937728460663087,48.75963287557382
50,True,True,True,False,True,False,False,0.573135797257968,5.846867963183422,88.7834199527478
51,False,False,False,False,False,True,False,0.12023063923862069,5.156291389169379,62.95117692858506
52,False,False,True,False,False,True,False,0.2828799195156771,4.126558539113892,71.08677531916975
53,False,False,False,False,True,False,False,0.1322635057075402,8.48161468056961,62.50078261340779
54,False,False,False,False,False,True,False,0.1327788536577652,2.680658797319668,57.87119265323162
55,False,False,True,False,False,True,False,0.5416700604827698,2.310716595748494,54.63518929630238
56,False,True,True,False,False,False,False,0.8533554538546011,6.6689081353036705,46.76902713605133
57,False,False,False,False,True,True,True,0.28601366221903307,3.4827660325403507,116.50357134725857
58,False,True,False,False,False,True,False,0.42071941845513133,5.751870693722147,71.3517114596246
59,True,False,True,True,True,False,False,0.548569227451158,4.369674077377158,70.49409659507688
